place,rent,lat,lon
"Drumcondra, Dublin 3",1086.76,53.362511,-6.257927
"East Wall, Dublin 3",1033.37,53.354322,-6.234113
"Eastwall, Dublin 3",971.55,53.354322,-6.234113
"Fairview, Dublin 3",972.06,53.361325,-6.239136
"Marino, Dublin 3",1177.43,53.358697,-6.250459
"North Strand, Dublin 3",1017.57,53.358192,-6.240886
Dublin 4,1415.43,53.320688,-6.279173
"Ballsbridge, Dublin 4",1463.62,53.333289,-6.237198
"Donnybrook, Dublin 4",1421.65,53.32609,-6.243784
"Irishtown, Dublin 4",1261.29,53.341475,-6.225291
"Merrion, Dublin 4",1357.77,53.323288,-6.261772
"Pembroke, Dublin 4",1309.31,53.331904,-6.235496
"Ringsend, Dublin 4",1291.98,53.339809,-6.23493
"Sandymount, Dublin 4",1489.96,53.323288,-6.261772
Dublin 5,1093.06,53.358697,-6.250459
"Artane, Dublin 5",1075.26,53.364599,-6.244319
"Killester, Dublin 5",1136.97,53.372841,-6.205113
"Raheny, Dublin 5",1119.93,53.381654,-6.17636
Dublin 6,1026.56,53.322946,-6.272986
"Dartry, Dublin 6",1276.16,53.309195,-6.26298
"Harolds Cross, Dublin 6",1156.23,53.324581,-6.28158
"Milltown, Dublin 6",1448.84,53.322946,-6.272986
"Ranelagh, Dublin 6",1072.47,53.326268,-6.259978
"Rathgar, Dublin 6",954.26,53.32095,-6.275265
"Rathmines, Dublin 6",899.76,53.322946,-6.272986
"Terenure, Dublin 6",1239.91,53.310416,-6.289893
Dublin 6W,1177.88,53.322946,-6.272986
"Harolds Cross, Dublin 6W",1129.02,53.324581,-6.28158
"Templeogue, Dublin 6W",1283.82,53.297689,-6.321976
"Terenure, Dublin 6W",1289.68,53.310416,-6.289893
Dublin 7,928,53.363196,-6.270652
"Arbour Hill, Dublin 7",1109.5,53.351429,-6.283817
"Cabra, Dublin 7",896.36,53.357824,-6.2884
"Navan Road, Dublin 7",1113.68,53.373086,-6.325825
"North Circular Road, Dublin 7",898.44,53.352438,-6.297729
"Phibsboro, Dublin 7",844.01,53.357647,-6.274138
"Smithfield, Dublin 7",1132.91,53.348904,-6.276309
"Stoneybatter, Dublin 7",1020.97,53.354126,-6.285813
Dublin 8,989.8,53.322946,-6.272986
"Christchurch, Dublin 8",1012.65,53.34307,-6.273952
"Cork Street, Dublin 8",1082.3,53.338896,-6.275638
"Dolphins Barn, Dublin 8",0,53.322946,-6.272986
"Inchicore, Dublin 8",1014.85,53.334974,-6.332055
"Islandbridge, Dublin 8",1255.19,53.322946,-6.272986
"Kilmainham , Dublin 8",1071.66,53.339672,-6.302283
"Portobello, Dublin 8",879.39,53.322946,-6.272986
"Rialto, Dublin 8",1007.34,53.338489,-6.289919
"South Circular Road, Dublin 8",614.52,53.337214,-6.299171
"The Coombe, Dublin 8",995.48,53.33972,-6.279045
Dublin 9,1122.24,53.322421,-6.265064
"Ballymun, Dublin 9",798.51,53.393876,-6.264126
"Beaumont, Dublin 9",1062.97,53.38572,-6.228976
"Drumcondra, Dublin 9",1088.81,53.343463,-6.262483
"Glasnevin, Dublin 9",1404.22,53.363056,-6.270739
"Santry, Dublin 9",1102.52,53.363056,-6.270739
"Whitehall, Dublin 9",1143.43,53.382394,-6.244426
Dublin 10,915.59,53.338471,-6.290065
"Ballyfermot, Dublin 10",931.89,53.345411,-6.358911
"Cherry Orchard, Dublin 10",921.2,53.335984,-6.361351
Dublin 11,972.67,53.351518,-6.258133
"Ballymun, Dublin 11",851.08,53.393876,-6.264126
"Finglas, Dublin 11",961.63,53.360143,-6.256898
"Glasnevin, Dublin 11",1082.83,53.360143,-6.256898
"Meakstown, Dublin 11",930.91,53.405713,-6.299275
"St Margarets Road, Dublin 11",1029.92,53.405547,-6.276991
Dublin 12,1032.5,53.351533,-6.258031
"Crumlin, Dublin 12",984.33,53.329209,-6.302547
"Drimnagh, Dublin 12",1085.64,53.329755,-6.285393
"Kimmage, Dublin 12",1066.48,53.320642,-6.298186
"Walkinstown, Dublin 12",1059.25,53.319234,-6.332097
Dublin 13,1112.72,53.342064,-6.280435
"Baldoyle, Dublin 13",1123.57,53.394867,-6.137386
"Balgriffin, Dublin 13",1232.63,53.409688,-6.176563
"Clongriffin, Dublin 13",1045.95,53.401301,-6.153448
"Donaghmede, Dublin 13",1034.61,53.398646,-6.161643
"Sutton, Dublin 13",1229.84,53.392099,-6.116234
Dublin 14,1372.92,53.319069,-6.22958
"Churchtown, Dublin 14",1379.53,53.319069,-6.22958
"Clonskeagh, Dublin 14",1452.63,53.319069,-6.22958
"Dundrum, Dublin 14",1364.84,53.309009,-6.225085
"Goatstown, Dublin 14",1632.24,53.309009,-6.225085
